playerid,CBSNAME,Pos,Team,CBS,dup_playerid
13510,Jose Ramirez,3B,CLE,41,13510
15640,Aaron Judge,CF,NYY,41,15640
16252,Trea Turner,SS,PHI,41,16252
23697,Julio Rodriguez,CF,SEA,40,23697
13611,Mookie Betts,RF,LAD,39,13611
18401,Ronald Acuna,RF,ATL,39,18401
19556,Yordan Alvarez,DH,HOU,38,19556
19755,Shohei Ohtani,DH,LAA,37,19755
20123,Juan Soto,RF,SD,37,20123
17350,Rafael Devers,3B,BOS,36,17350
18345,Kyle Tucker,RF,HOU,36,18345
5361,Freddie Freeman,1B,LAD,35,5361
10155,Mike Trout,CF,LAA,34,10155
11493,Manny Machado,3B,SD,34,11493
18360,Austin Riley,3B,ATL,34,18360
19611,Vladimir Guerrero,1B,TOR,34,19611
19709,Fernando Tatis,SS,SD,33,19709
19612,Bo Bichette,SS,TOR,32,19612
9218,Paul Goldschmidt,1B,STL,31,9218
19251,Pete Alonso,1B,NYM,31,19251
25931,Michael Harris,CF,ATL,31,25931
5417,Jose Altuve,2B,HOU,30,5417
12533,Marcus Semien,2B,TEX,30,12533
25764,Bobby Witt,SS,KC,30,25764
9777,Nolan Arenado,3B,STL,29,9777
12916,Francisco Lindor,SS,NYM,29,12916
16556,Ozzie Albies,2B,ATL,28,16556
3137,Max Scherzer,SP,NYM,27,3137
8700,Justin Verlander,SP,NYM,27,8700
13125,Gerrit Cole,SP,NYY,27,13125
18684,Sandy Alcantara,SP,MIA,27,18684
19361,Corbin Burnes,SP,MIL,27,19361
16478,Kyle Schwarber,LF,PHI,26,16478
19290,Randy Arozarena,LF,TB,26,19290
20043,Luis Robert,CF,CHW,26,20043
10954,Jacob deGrom,SP,TEX,25,10954
11739,J.T. Realmuto,C,PHI,25,11739
21483,Shane McClanahan,SP,TB,25,21483
16162,Brandon Woodruff,SP,MIL,24,16162
17929,Cedric Mullins,CF,BAL,24,17929
10310,Zack Wheeler,SP,PHI,23,10310
14710,Edwin Diaz,RP,NYM,23,14710
16137,Carlos Rodon,SP,NYY,23,16137
16149,Aaron Nola,SP,PHI,23,16149
21032,Emmanuel Clase,RP,CLE,23,21032
19427,Shane Bieber,SP,CLE,22,19427
13624,Corey Seager,SS,TEX,21,13624
14212,Josh Hader,RP,SD,21,14212
14344,Matt Olson,1B,ATL,21,14344
15816,Devin Williams,RP,MIL,21,15816
18525,Dylan Cease,SP,CHW,21,18525
26410,Alek Manoah,SP,TOR,21,26410
27498,Spencer Strider,SP,ATL,21,27498
13743,Max Fried,SP,ATL,20,13743
14765,Julio Urias,SP,LAD,20,14765
19197,Will Smith,C,LAD,20,19197
19918,Daulton Varsho,RF,TOR,20,19918
7304,Salvador Perez,C,KC,19,7304
9241,Starling Marte,RF,NYM,19,9241
13066,Teoscar Hernandez,RF,SEA,19,13066
19287,Adolis Garcia,RF,TEX,19,19287
20454,Jazz Chisholm,2B,MIA,19,20454
21711,Oneil Cruz,SS,PIT,19,21711
12856,George Springer,CF,TOR,18,12856
13074,Yu Darvish,SP,SD,18,13074
15689,Luis Castillo,SP,SEA,18,15689
17130,Raisel Iglesias,RP,ATL,18,17130
17484,Eloy Jimenez,DH,CHW,18,17484
19291,Zac Gallen,SP,ARI,18,19291
12161,Xander Bogaerts,SS,SD,17,12161
14107,Kevin Gausman,SP,TOR,17,14107
16122,Jordan Romano,RP,TOR,17,16122
18314,Dansby Swanson,SS,CHC,17,18314
20666,Felix Bautista,RP,BAL,17,20666
17295,Framber Valdez,SP,HOU,16,17295
17678,Alex Bregman,3B,HOU,16,17678
19470,Tommy Edman,2B,STL,16,19470
26288,Adley Rutschman,C,BAL,16,26288
26289,Gunnar Henderson,3B,BAL,16,26289
3096,Kenley Jansen,RP,BOS,15,3096
7005,Ryan Pressly,RP,HOU,15,7005
11486,Robbie Ray,SP,SEA,15,11486
12970,Joe Musgrove,SP,SD,15,12970
14161,Byron Buxton,CF,MIN,15,14161
14162,Carlos Correa,SS,MIN,15,14162
15172,Tim Anderson,SS,CHW,15,15172
15986,Willy Adames,SS,MIL,15,15986
17606,Cristian Javier,SP,HOU,15,17606
18000,Triston McKenzie,SP,CLE,15,18000
19326,Bryan Reynolds,CF,PIT,15,19326
19950,Andres Gimenez,2B,CLE,15,19950
22581,Alejandro Kirk,C,TOR,15,22581
23667,Wander Franco,SS,TB,15,23667
25878,Corbin Carroll,LF,ARI,15,25878
15676,Jose Abreu,1B,HOU,14,15676
27676,Vinnie Pasquantino,1B,KC,14,27676
2036,Clayton Kershaw,SP,LAD,13,2036
11609,Willson Contreras,C,STL,13,11609
13301,Max Muncy,3B,LAD,13,13301
16472,Rhys Hoskins,1B,PHI,13,16472
18138,Ryan Helsley,RP,STL,13,18138
21992,Camilo Doval,RP,SF,13,21992
2520,Lance Lynn,SP,CHW,12,2520
11579,Bryce Harper,DH,PHI,12,11579
13543,Blake Snell,SP,SD,12,13543
14374,Tyler Glasnow,SP,TB,12,14374
15890,Luis Severino,SP,NYY,12,15890
17995,Logan Webb,SP,SF,12,17995
19566,Nate Lowe,1B,TEX,12,19566
19665,Kyle Wright,SP,ATL,12,19665
20503,William Contreras,C,MIL,12,20503
21636,Jeremy Pena,SS,HOU,12,21636
22250,Logan Gilbert,SP,SEA,12,22250
25436,George Kirby,SP,SEA,12,25436
4949,Giancarlo Stanton,DH,NYY,11,4949
11477,Christian Yelich,LF,MIL,11,11477
12546,C.J. Cron,1B,COL,11,12546
13419,Christian Walker,1B,ARI,11,13419
15429,Kris Bryant,LF,COL,11,15429
15711,Tyler O'Neill,LF,STL,11,15711
17874,Nestor Cortes,SP,NYY,11,17874
19352,Sean Murphy,C,ATL,11,19352
13613,Ketel Marte,2B,ARI,10,13613
14551,Anthony Santander,RF,BAL,10,14551
